School_Unit_Name,Elementary_school_cases,Middle_school_cases,High_school_cases,Gender,Reporting_date
CENTRU DE PEDAGOGIE CURATIVA SIMERIA,31,55,46,M,2012-06-22
CENTRU SCOLAR PENTRU EDUCATIE INCLUZIVA CONSTANTIN PUFAN,28,46,13,F,2018-07-26
Centrul de Educatie Speciala,5,45,46,M,2013-05-06
CENTRUL DE RESURSE SI ASISTENTA EDUCATIONALA SPERANTA TIMISOARA,18,22,42,F,2019-11-30
CENTRUL DE STUDII STEFAN CEL MARE SI SFANT - BUCOVINA CAMPULUNG MOLDOVENESC,20,6,27,M,2020-09-25
CENTRUL DE ZI CASA LUMINII SIBIU,35,35,21,M,2018-09-04
CENTRUL EDUCATIV DE ZI MARIA-AJUTORUL COPIILOR FOCSANI,6,41,25,F,2016-08-03
CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA,26,12,27,M,2019-12-25
CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA CALARASI,46,24,10,M,2017-09-10
CENTRUL JUDETEAN DE EXCELENTA ALBA,13,37,20,M,2014-11-08
CENTRUL JUDETEAN DE EXCELENTA DOLJ,34,41,3,F,2016-02-14
CENTRUL JUDETEAN DE EXCELENTA GALATI,1,29,22,M,2019-11-21
CENTRUL JUDETEAN DE EXCELENTA VALCEA,11,18,3,M,2017-12-21
CENTRUL JUDETEAN DE EXCELENTA VRANCEA,20,28,36,M,2020-05-02
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA,18,10,45,F,2017-08-16
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA ALBA,22,12,21,F,2015-05-01
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA CALARASI,12,31,28,F,2017-08-29
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA GORJ,42,54,7,F,2012-07-16
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA MARAMURES,25,51,35,F,2015-10-11
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA VALCEA,21,8,49,F,2015-12-30
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA VRANCEA,38,0,51,M,2013-08-29
CENTRUL JUDETEAN DE RESURSE SI DE ASISTENTA EDUCATIONALA,28,51,6,F,2014-06-04
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA MURES,49,8,55,F,2014-12-07
CENTRUL JUDETEAN RESURSE SI ASISTENTA EDUCATIONALA,20,21,34,F,2021-06-11
CENTRUL JUDETEAN DE ASISTENTA PSHIOPEDAGOGICA,20,28,53,M,2018-10-06
CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA BACAU,36,22,39,M,2017-05-10
CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA IASI,54,23,13,F,2021-01-22
CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA MIERCUREA CIUC,46,15,27,M,2015-02-15
CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA MUNICIPIUL BUZAU,38,0,39,M,2017-03-27
CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA PRAHOVA,25,11,50,M,2015-08-09
CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA SATU MARE,23,21,19,F,2014-01-31
CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA SALAJ,35,33,9,F,2017-03-17
CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA SUCEAVA,53,54,16,F,2017-08-02
CENTRUL JUDETEAN DE EXCELENTA MEHEDINTI,21,28,5,M,2017-06-22
CENTRUL JUDETEAN DE EXCELENTA ARAD,45,33,4,M,2012-06-26
CENTRUL JUDETEAN DE EXCELENTA ARGES,49,24,1,M,2012-02-25
CENTRUL JUDETEAN DE EXCELENTA BACAU,24,27,33,M,2015-03-12
CENTRUL JUDETEAN DE EXCELENTA BIHOR,9,19,53,M,2016-10-18
CENTRUL JUDETEAN DE EXCELENTA BISTRITA-NASAUD,39,37,33,F,2021-03-23
CENTRUL JUDETEAN DE EXCELENTA BOTOSANI,50,28,14,F,2021-01-05
Centrul Judetean de Excelenta Brasov,25,53,43,F,2012-11-20
CENTRUL JUDETEAN DE EXCELENTA BRAILA,46,33,29,M,2014-03-11
CENTRUL JUDETEAN DE EXCELENTA CARAS-SEVERIN,54,29,55,M,2016-01-02
CENTRUL JUDETEAN DE EXCELENTA CALARASI,31,25,10,F,2016-09-29
CENTRUL JUDETEAN DE EXCELENTA CLUJ,1,43,20,F,2019-07-17
CENTRUL JUDETEAN DE EXCELENTA CONSTANTA,19,47,36,F,2020-08-02
Centrul Judetean de Excelenta Covasna,41,35,32,F,2019-11-23
CENTRUL JUDETEAN DE EXCELENTA DAMBOVITA,30,46,10,M,2014-02-13
CENTRUL JUDETEAN DE EXCELENTA GIURGIU,30,34,17,F,2018-12-16
CENTRUL JUDETEAN DE EXCELENTA GORJ,53,53,12,M,2013-01-06
CENTRUL JUDETEAN DE EXCELENTA HARGHITA,5,30,46,F,2015-05-09
CENTRUL JUDETEAN DE EXCELENTA HUNEDOARA,47,51,5,M,2017-06-23
CENTRUL JUDETEAN DE EXCELENTA IALOMITA,18,19,33,F,2018-10-04
CENTRUL JUDETEAN DE EXCELENTA IASI,52,25,6,F,2015-06-09
CENTRUL JUDETEAN DE EXCELENTA ILFOV,5,41,53,M,2017-09-27
CENTRUL JUDETEAN DE EXCELENTA MARAMURES,3,10,16,F,2013-12-04
CENTRUL JUDETEAN DE EXCELENTA MUNICIPIUL BUZAU,30,31,22,F,2020-08-25
CENTRUL JUDETEAN DE EXCELENTA MURES,21,6,55,F,2016-02-18
CENTRUL JUDETEAN DE EXCELENTA NEAMT,9,22,14,M,2014-11-23
CENTRUL JUDETEAN DE EXCELENTA OLT,44,2,48,M,2014-12-01
CENTRUL JUDETEAN DE EXCELENTA PRAHOVA,21,23,5,M,2020-06-16
CENTRUL JUDETEAN DE EXCELENTA SATU MARE,26,27,10,M,2013-04-02
CENTRUL JUDETEAN DE EXCELENTA SALAJ,32,55,38,M,2019-05-26
CENTRUL JUDETEAN DE EXCELENTA SIBIU,51,3,45,F,2020-10-12
CENTRUL JUDETEAN DE EXCELENTA SUCEAVA,21,22,48,F,2014-10-14
