School_Unit_Name,Elementary_school_cases,Middle_school_cases,High_school_cases,Gender,Reporting_date
CENTRU DE PEDAGOGIE CURATIVA SIMERIA,112,223,115,F,2012-06-23
CENTRU SCOLAR PENTRU EDUCATIE INCLUZIVA CONSTANTIN PUFAN,637,607,116,M,2018-07-27
Centrul de Educatie Speciala,505,432,666,F,2013-05-07
CENTRUL DE RESURSE SI ASISTENTA EDUCATIONALA SPERANTA TIMISOARA,140,439,672,M,2019-12-01
CENTRUL DE STUDII STEFAN CEL MARE SI SFANT - BUCOVINA CAMPULUNG MOLDOVENESC,566,447,404,F,2020-09-26
CENTRUL DE ZI CASA LUMINII SIBIU,165,250,605,F,2018-09-05
CENTRUL EDUCATIV DE ZI MARIA-AJUTORUL COPIILOR FOCSANI,516,471,307,M,2016-08-04
CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA,411,552,171,F,2019-12-26
CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA CALARASI,196,83,583,F,2017-09-11
CENTRUL JUDETEAN DE EXCELENTA ALBA,746,81,444,F,2014-11-09
CENTRUL JUDETEAN DE EXCELENTA DOLJ,151,109,721,M,2016-02-15
CENTRUL JUDETEAN DE EXCELENTA GALATI,290,180,645,F,2019-11-22
CENTRUL JUDETEAN DE EXCELENTA VALCEA,478,31,557,F,2017-12-22
CENTRUL JUDETEAN DE EXCELENTA VRANCEA,528,695,160,F,2020-05-03
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA,581,53,31,M,2017-08-17
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA ALBA,37,206,713,M,2015-05-02
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA CALARASI,700,316,407,M,2017-08-30
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA GORJ,2,75,431,M,2012-07-17
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA MARAMURES,663,441,305,M,2015-10-12
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA VALCEA,749,447,482,M,2015-12-31
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA VRANCEA,338,368,671,F,2013-08-30
CENTRUL JUDETEAN DE RESURSE SI DE ASISTENTA EDUCATIONALA,552,477,179,M,2014-06-05
CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA MURES,165,294,545,M,2014-12-08
CENTRUL JUDETEAN RESURSE SI ASISTENTA EDUCATIONALA,217,115,481,M,2021-06-12
